Código,Descripción,Cantidad,Especificación,Uso
HW-001,Tornillo Confirmat,24,7 × 50 mm,Unión de melamina
HW-002,Tapón para Confirmat,24,Blanco,Acabado
HW-003,Silicón de uso general,2,Cartucho 280–300 ml,Sellado interior continuo
HW-004,Perfil aluminio marco puerta,1,30 × 20 mm; 3.6 m aprox.,Marco
HW-005,Acrílico transparente,1,734 × 934 × 6 mm aprox.,Confirmar con perfil
HW-006,Burlete EPDM,4,Autoadherible 4–6 mm; 4 m,Sellado puerta
HW-007,Bisagra para marco,3,Carga mínima conjunta 12 kg,Puerta
HW-008,Jaladera,1,120–160 mm,Puerta
HW-009,Cierre magnético,2,Ajustable,Compresión de sello
HW-010,Varilla inoxidable,16,Ø10 × 120 mm,Ejes de carrete
HW-011,Tornillo M5,64,M5 × 35 mm,2 por soporte
HW-012,Tuerca M5 autofrenante,64,M5,Soportes
HW-013,Rondana ancha M5,128,M5,Distribuir carga en melamina
HW-014,Pata niveladora,4,"M8, carga ≥30 kg/u",Base
HW-015,Cinta 3M VHB,1,20 mm × 1 m,Placa de identificación
